LAST,MIDDLE,FIRST,Lifetime,Degree,Cause of Death,Institutional Affiliation,Field
Christopher,A.,Dawson,(1942-2003),PhD,heart attack,Medical College of Wisconsin,pulmonary hemodynamics
Bruce,M.,Achauer,(1943-2002),MD,gastrointestinal bacterial infection,University of California - Irvine,non-invasive methods to asses the depth of burn wounds
Roland,D.,Ciaranello,(1943-1994),MD,heart attack,Stanford University,molecular neuobiology and developmental disorders
Fredric,S.,Fay,(1943-1997),PhD,heart attack,UMASS,generation and regulation fo force in smooth muscle
Thomas,A.,McMahon,(1943-1999),PhD,complications from routine surgery,Harvard University,orthopedic biomechanics
William,D.,Nunn,(1943-1986),PhD,sudden cardiac arrest,University of California - Irvine,regulation of fatty acid/acetate metabolism in e.coli
Ahmad,I.,Bukhari,(1943-1983),PhD,heart attack,Cold Spring Harbor Laboratory,life cycle of mutator phage mu
James,S.,Seidel,(1943-2003),MD/PhD,bacterial infection,Harbor-UCLA Medical Center,clinical studies in pediatric life support and cardiopulmonary resuscitation
Jonathan,M.,Mann,(1943-1998),MD,plane crash,Harvard University School of Public Health,AIDS prevention
Lonnie,D.,"Russell, Jr",(1944-2001),PhD,swimming accident,Southern Illinois University School of Medicine,filament regulation of spermatogensis
Don,C.,Wiley,(1944-2001),PhD,accidental fall,Harvard University,viral membrane and glycoprotein structure
Roger,R.,Williams,(1944-1998),MD,airplane crash,University of Utah,genetics and epidemiology of coronary artery diseases
G.,Scott,Giebink,(1944-2003),MD,heart attack,University of Minnesota,pathogensis of otitis media and immunizations
Joaquim,,Puig-Antich,(1944-1989),MD,asthma attack,University of Pittsburgh,psychobiology and treatment of child depression
Peter,M.,Steinert,(1945-2003),PhD,heart attack,NIH,structure and interactions of the proteins characteristic of epithelial cells
John,P.,Merlie,(1945-1995),PhD,heart failure,Washington University in St. Louis,molecular genetics of the acetylcholine receptor
Howard,S.,Tager,(1945-1994),PhD,heart attack,University of Chicago,"biochemical structure, action, regulation and degradation of the insulin and glucagon molecules"
John,J.,Wasmuth,(1946-1995),PhD,heart attack,University of California - Irvine,human-hamster somatic cell hybrids/localization of Hnyington's disease gene
Stanley,R.,Kay,(1946-1990),PhD,heart attack,Albert Einstein College of Medince,symptoms and diagnostic tests of schizophrenia
Mary,Lou,Clements,(1946-1998),MD,airplane crash,Johns Hopkins University,development of AIDS vaccines
Ronald,E.,Talcott,(1947-1984),PhD,automobile accident,UCSF,carboxylesterases of toxicologic significance
Lynn,M.,Wiley,(1947-1999),PhD,plane crash,University of California - Davis,morphogenesis in early mammalian embryos
John,B.,"Penney, Jr",(1947-1999),MD,heart attack,Harvard Medical School/MGH,receptor mechanisms in movement disorder pathophysiology
Jeffrey,M.,Isner,(1947-2001),MD,heart attack,Tufts University,"therapeutic angiogenesis in vascular medicine, cardiovascular laser phototherapy"
Trudy,L.,Bush,(1949-2001),PhD,heart attack,University of Maryland School of Medince,postmenopausal estrogen/progestins interventions
Neil,S.,Jacobson,(1949-1999),PhD,heart attack,University of Washington,"marital tehrapy, domestic violence, and the treatment of depression"
Tsunao,,Saitoh,(1949-1996),PhD,murdered,UCSD,altered protein kinases in alzheimer's disease
Gary,J.,Miller,(1950-2001),MD/PhD,heart attack,University of Colorado HSC,vitamin D receptors in thegrowth regulation of prostate cancer cells
Elizabeth,A.,Rich,(1952-1998),MD,traffic accident,Case Western Reserve University School of Medicine,natural history of lymphocytic alveolitis in HIV disease
Matthew,L.,Thomas,(1953-1999),PhD,died while traveling,Washington University in St. Louis,function and regulation of leukocyte surface glycoproteins
Mu-En,,Lee,(1954-2000),MD/PhD,complications from routine surgery,Harvard Medical School/MGH,characterization of vasculat smooth muscle LIM protein
Alan,P.,Wolffe,(1959-2001),PhD,car accident,NIH,role of DNA methylation in regulating gene expression in normal and pathological states
